,FlightDate,Carrier,Origin,Dest,Distance,DistanceGroup
12111,2017-09-05,DL,SAT,ATL,874.0,4
13928,2017-09-05,F9,DTW,TTN,464.0,2
14311,2017-09-18,WN,DEN,MDW,895.0,4
2688,2017-09-20,OO,LAX,AUS,1242.0,5
13672,2017-09-19,WN,ATL,IAD,534.0,3
16024,2017-09-16,WN,DAL,DTW,981.0,4
4136,2017-09-21,WN,OAK,RNO,181.0,1
10707,2017-09-24,WN,LAS,SAT,1069.0,5
6095,2017-09-21,OO,SEA,DAL,1670.0,7
11742,2017-09-29,NK,MCI,DTW,629.0,3
1906,2017-09-25,AA,STL,DFW,550.0,3
15749,2017-09-26,AA,LGA,ORD,733.0,3
1633,2017-09-17,WN,SMF,BUR,358.0,2
16517,2017-09-29,UA,CVG,SFO,2036.0,9
2253,2017-09-02,WN,SFO,SNA,372.0,2
5398,2017-09-24,WN,PHX,BUR,369.0,2
13472,2017-09-08,OO,OMA,ORD,416.0,2
17721,2017-09-10,VX,SFO,JFK,2586.0,11
13348,2017-09-13,EV,JAN,IAH,351.0,2
7438,2017-09-11,EV,CLE,LGA,419.0,2
8765,2017-09-20,OO,LAX,SAT,1211.0,5
15106,2017-09-22,OO,RDU,DTW,501.0,3
7031,2017-09-16,WN,LBB,DAL,293.0,2
15187,2017-09-06,DL,SAV,ATL,214.0,1
17095,2017-09-17,AA,MCO,PHL,861.0,4
19302,2017-09-20,DL,SLC,SEA,689.0,3
18925,2017-09-03,OO,SEA,SMF,605.0,3
7422,2017-09-26,VX,IAD,SFO,2419.0,10
673,2017-09-20,WN,SJC,PDX,569.0,3
9746,2017-09-09,WN,ECP,BNA,401.0,2
6417,2017-09-15,DL,LAS,MSP,1299.0,6
13694,2017-09-23,AA,DFW,SNA,1205.0,5
3992,2017-09-23,EV,DFW,JAN,408.0,2
11369,2017-09-11,WN,ELP,HOU,677.0,3
15779,2017-09-10,UA,SFO,PDX,550.0,3
11086,2017-09-06,WN,SJC,SAN,417.0,2
13743,2017-09-23,B6,JFK,HOU,1428.0,6
9958,2017-09-01,B6,PHX,JFK,2153.0,9
