,FlightDate,Carrier,Origin,Dest,Distance,DistanceGroup
19274,2017-09-29,DL,ATL,PDX,2172.0,9
13623,2017-09-26,AA,DFW,MCO,985.0,4
2887,2017-09-27,VX,LAX,JFK,2475.0,10
15800,2017-09-21,DL,PDX,JFK,2454.0,10
4616,2017-09-28,B6,JFK,MCO,944.0,4
7169,2017-09-20,WN,TUL,LAS,1076.0,5
13485,2017-09-22,WN,ATL,JAX,270.0,2
1861,2017-09-10,DL,MSP,SMF,1517.0,7
5365,2017-09-24,F9,SAN,AUS,1164.0,5
229,2017-09-29,OO,DTW,MSN,311.0,2
2816,2017-09-15,DL,DCA,ATL,547.0,3
9699,2017-09-19,WN,RDU,ATL,356.0,2
1440,2017-09-24,B6,AUS,FLL,1105.0,5
3560,2017-09-27,UA,ORD,BOS,867.0,4
10537,2017-09-26,EV,EWR,CLE,404.0,2
7164,2017-09-14,EV,GRR,DTW,120.0,1
5455,2017-09-29,AA,PHX,LAS,255.0,2
9110,2017-09-07,DL,BOS,DTW,632.0,3
2432,2017-09-04,UA,SLC,EWR,1969.0,8
7953,2017-09-24,WN,RDU,MCO,534.0,3
16321,2017-09-21,AA,GEG,PHX,1020.0,5
13434,2017-09-07,AA,PIT,PHL,268.0,2
2238,2017-09-16,AA,MIA,SJU,1045.0,5
17346,2017-09-24,AA,SFO,ORD,1846.0,8
17688,2017-09-28,OO,RDU,MSP,980.0,4
14495,2017-09-11,OO,ORD,LGA,733.0,3
10704,2017-09-10,B6,BOS,MCO,1121.0,5
15478,2017-09-12,OO,TUS,SLC,601.0,3
15795,2017-09-06,DL,ATL,CAE,192.0,1
18162,2017-09-02,OO,DAL,LGA,1381.0,6
18577,2017-09-30,WN,IND,MCO,829.0,4
5546,2017-09-15,B6,JAX,DCA,634.0,3
12801,2017-09-23,WN,MDW,BDL,777.0,4
8991,2017-09-27,AA,ONT,DFW,1188.0,5
4182,2017-09-04,WN,ABQ,DAL,580.0,3
5274,2017-09-08,AS,SFO,PDX,550.0,3
5138,2017-09-05,UA,IAH,BNA,657.0,3
5950,2017-09-21,OO,CLE,ORD,316.0,2
12885,2017-09-16,OO,SAT,ORD,1041.0,5
19585,2017-09-20,EV,STL,IAH,667.0,3
17812,2017-09-27,WN,AUS,DEN,775.0,4
10306,2017-09-20,AA,SNA,DFW,1205.0,5
51,2017-09-18,WN,SAN,AUS,1164.0,5
14044,2017-09-17,DL,LAX,CVG,1900.0,8
11341,2017-09-17,NK,BOS,DFW,1562.0,7
15228,2017-09-21,DL,STL,ATL,484.0,2
14836,2017-09-27,AA,ABQ,DFW,569.0,3
5283,2017-09-23,DL,RDU,LAX,2239.0,9
9687,2017-09-19,WN,LAX,HOU,1390.0,6
13297,2017-09-18,UA,EWR,SAN,2425.0,10
4770,2017-09-20,DL,SEA,DTW,1927.0,8
13475,2017-09-18,AA,CLT,PIT,366.0,2
15047,2017-09-03,EV,LBB,IAH,458.0,2
2750,2017-09-21,WN,PIT,MDW,402.0,2
6758,2017-09-05,UA,ORD,IAH,925.0,4
15027,2017-09-28,WN,SFO,LAS,414.0,2
6111,2017-09-24,DL,SAV,ATL,214.0,1
16766,2017-09-29,OO,LAX,SAN,109.0,1
204,2017-09-17,WN,DAL,PHX,879.0,4
11661,2017-09-28,WN,BWI,ORF,159.0,1
5491,2017-09-11,AA,AUS,PHX,872.0,4
8497,2017-09-23,WN,DTW,ATL,594.0,3
15458,2017-09-12,WN,LAS,PHX,255.0,2
11340,2017-09-03,DL,ATL,SFO,2139.0,9
217,2017-09-23,DL,PHF,ATL,508.0,3
10154,2017-09-06,DL,PHX,MSP,1276.0,6
5632,2017-09-23,EV,DTW,PIT,201.0,1
4738,2017-09-22,NK,IAH,ATL,689.0,3
18321,2017-09-21,WN,DEN,LAX,862.0,4
3475,2017-09-22,DL,IAH,ATL,689.0,3
13483,2017-09-02,UA,BZN,SFO,807.0,4
3717,2017-09-24,AA,DFW,CLT,936.0,4
11345,2017-09-16,WN,TPA,LAS,1984.0,8
12259,2017-09-29,DL,ATL,DFW,731.0,3
17421,2017-09-05,DL,IND,ATL,432.0,2
1619,2017-09-24,DL,SLC,LAS,368.0,2
1014,2017-09-21,UA,DFW,ORD,802.0,4
11273,2017-09-21,WN,SEA,SJC,696.0,3
17143,2017-09-28,NK,LAX,PIT,2136.0,9
5155,2017-09-19,AA,DFW,SEA,1660.0,7
10949,2017-09-02,WN,SJC,PHX,621.0,3
19687,2017-09-29,WN,ORF,MDW,704.0,3
11242,2017-09-16,WN,MDW,OAK,1844.0,8
15263,2017-09-15,F9,TTN,DTW,464.0,2
819,2017-09-02,WN,CVG,MDW,249.0,1
3742,2017-09-29,EV,AVL,ATL,164.0,1
7604,2017-09-25,UA,RDU,IAD,224.0,1
15578,2017-09-07,WN,PHX,MCI,1044.0,5
9995,2017-09-06,NK,MCI,DTW,629.0,3
10058,2017-09-04,WN,STL,PHL,814.0,4
8769,2017-09-05,DL,ELP,ATL,1282.0,6
8818,2017-09-24,AS,SNA,SEA,978.0,4
3517,2017-09-17,AA,MSP,ORD,334.0,2
2785,2017-09-06,DL,ATL,GPT,352.0,2
19514,2017-09-24,WN,LAS,BWI,2106.0,9
12551,2017-09-22,VX,LAX,EWR,2454.0,10
16981,2017-09-04,WN,TPA,IND,837.0,4
909,2017-09-01,WN,DAL,BNA,623.0,3
13020,2017-09-21,NK,LAX,SEA,954.0,4
6338,2017-09-23,AA,BDL,ORD,783.0,4
526,2017-09-20,WN,SJC,BUR,296.0,2
7899,2017-09-30,WN,MCO,RDU,534.0,3
15030,2017-09-23,VX,SFO,PSP,421.0,2
19582,2017-09-17,HA,ITO,HNL,216.0,1
9090,2017-09-28,OO,ORD,BGR,978.0,4
6150,2017-09-11,WN,MDW,LAS,1521.0,7
15253,2017-09-16,WN,BWI,DEN,1491.0,6
6932,2017-09-15,AA,PIT,CLT,366.0,2
19920,2017-09-08,AA,PHX,MCI,1044.0,5
17532,2017-09-09,DL,SEA,ATL,2182.0,9
19405,2017-09-19,VX,SFO,IAD,2419.0,10
8699,2017-09-15,UA,ORD,IAH,925.0,4
15466,2017-09-13,B6,JAX,JFK,828.0,4
4217,2017-09-20,WN,PHX,MCI,1044.0,5
18654,2017-09-17,WN,HOU,DAL,239.0,1
10053,2017-09-30,OO,LAX,DEN,862.0,4
9907,2017-09-28,EV,ATL,AGS,143.0,1
5021,2017-09-27,OO,DTW,FWA,128.0,1
9758,2017-09-27,WN,MDW,STL,251.0,2
10113,2017-09-19,AA,CLT,GSO,83.0,1
17342,2017-09-19,AA,DFW,DCA,1192.0,5
12260,2017-09-09,WN,BWI,ROC,277.0,2
11015,2017-09-16,WN,DEN,SLC,391.0,2
18851,2017-09-21,DL,ATL,BNA,214.0,1
16662,2017-09-21,DL,CVG,SLC,1450.0,6
8241,2017-09-13,F9,PHL,TPA,920.0,4
3746,2017-09-19,EV,IAH,BHM,562.0,3
14362,2017-09-30,WN,MCO,ATL,404.0,2
7048,2017-09-08,B6,SWF,FLL,1118.0,5
8742,2017-09-20,AA,MEM,DFW,431.0,2
4598,2017-09-18,AA,CLE,PHL,363.0,2
5944,2017-09-05,AA,LAX,DFW,1235.0,5
17079,2017-09-25,DL,PBI,ATL,545.0,3
1130,2017-09-02,AS,SEA,JNU,909.0,4
16264,2017-09-21,DL,DTW,CLT,500.0,3
6674,2017-09-24,OO,FAT,PHX,493.0,2
12005,2017-09-02,WN,LAS,DAL,1067.0,5
9215,2017-09-25,AS,SAN,PDX,933.0,4
9448,2017-09-12,WN,LAX,SJC,308.0,2
17391,2017-09-22,AS,SEA,ORD,1721.0,7
5349,2017-09-21,OO,PHX,SAF,370.0,2
4815,2017-09-13,B6,SJC,LGB,324.0,2
7300,2017-09-15,WN,MDW,SEA,1733.0,7
11574,2017-09-01,WN,LAX,SMF,373.0,2
16499,2017-09-03,UA,FLL,IAH,966.0,4
18136,2017-09-19,WN,GRR,DEN,1015.0,5
13392,2017-09-19,WN,SAN,DEN,853.0,4
11718,2017-09-18,AA,LAS,CLT,1916.0,8
5034,2017-09-17,UA,SFO,IAD,2419.0,10
19698,2017-09-24,NK,ATL,ACY,679.0,3
3434,2017-09-22,DL,JFK,MIA,1089.0,5
6028,2017-09-14,DL,ATL,PDX,2172.0,9
4386,2017-09-03,DL,MYR,ATL,317.0,2
7744,2017-09-10,NK,ACY,MCO,852.0,4
1010,2017-09-06,WN,MDW,CVG,249.0,1
8736,2017-09-27,OO,TUS,DEN,639.0,3
14146,2017-09-18,WN,HOU,MDW,937.0,4
5851,2017-09-24,UA,DEN,CID,692.0,3
1735,2017-09-09,AS,PDX,LAX,834.0,4
5538,2017-09-12,EV,TYS,DFW,771.0,4
15555,2017-09-26,AA,MCI,DFW,460.0,2
19895,2017-09-18,WN,STL,RDU,667.0,3
3769,2017-09-18,UA,IAH,SAN,1303.0,6
18746,2017-09-03,AS,LAS,SEA,867.0,4
180,2017-09-22,AA,CMH,DFW,926.0,4
19535,2017-09-19,F9,TTN,ATL,701.0,3
16025,2017-09-22,WN,LGA,DAL,1381.0,6
5506,2017-09-20,DL,EYW,ATL,646.0,3
691,2017-09-22,DL,ATL,TPA,406.0,2
18867,2017-09-10,AA,LAX,AUS,1242.0,5
2903,2017-09-15,OO,ICT,IAH,542.0,3
9745,2017-09-11,DL,ATL,CVG,373.0,2
1602,2017-09-17,OO,ORD,RAP,779.0,4
7337,2017-09-29,EV,MOB,IAH,427.0,2
9006,2017-09-17,NK,DTW,LGA,502.0,3
12572,2017-09-26,UA,DEN,SJC,948.0,4
18973,2017-09-12,DL,SLC,SNA,588.0,3
3309,2017-09-14,AA,DCA,BOS,399.0,2
18191,2017-09-27,WN,PHX,ATL,1587.0,7
15167,2017-09-21,EV,IAH,LBB,458.0,2
19500,2017-09-12,AA,PHL,CLT,449.0,2
11520,2017-09-06,AA,DFW,MSY,447.0,2
7343,2017-09-03,WN,OMA,LAS,1099.0,5
3914,2017-09-24,DL,IAD,ATL,534.0,3
3816,2017-09-26,F9,COS,PHX,551.0,3
17331,2017-09-04,AS,OGG,SMF,2404.0,10
3332,2017-09-19,WN,LAS,DEN,628.0,3
10847,2017-09-04,B6,JFK,CHS,636.0,3
15051,2017-09-11,AA,ORD,RSW,1120.0,5
19605,2017-09-08,AA,CLT,SJC,2274.0,10
3028,2017-09-07,VX,LAX,IAD,2288.0,10
9263,2017-09-08,UA,DEN,SFO,967.0,4
14268,2017-09-12,DL,ATL,RDU,356.0,2
14868,2017-09-03,UA,SFO,OGG,2338.0,10
17995,2017-09-28,AA,DEN,PHL,1558.0,7
1528,2017-09-26,AA,PHX,OAK,646.0,3
19836,2017-09-05,WN,DEN,OAK,957.0,4
8130,2017-09-07,B6,RIC,BOS,474.0,2
3868,2017-09-08,NK,FLL,LGA,1076.0,5
5249,2017-09-03,EV,DCA,CLE,310.0,2
15197,2017-09-28,DL,SEA,ATL,2182.0,9
4356,2017-09-11,AA,DTW,PHX,1671.0,7
7261,2017-09-24,WN,SFO,BUR,326.0,2
14352,2017-09-03,WN,BDL,LAS,2297.0,10
8573,2017-09-08,WN,OAK,BUR,325.0,2
5571,2017-09-30,AA,PHX,DFW,868.0,4
5076,2017-09-26,DL,MIA,ATL,594.0,3
10879,2017-09-17,AA,PVD,CLT,683.0,3
18872,2017-09-15,NK,ORD,LGA,733.0,3
16285,2017-09-02,WN,MDW,MCO,990.0,4
12183,2017-09-03,UA,MSY,IAD,955.0,4
14431,2017-09-28,UA,DEN,SEA,1024.0,5
2798,2017-09-28,WN,GEG,LAS,806.0,4
10086,2017-09-05,AA,ONT,PHX,325.0,2
12924,2017-09-06,AA,PBI,CLT,590.0,3
14179,2017-09-22,EV,GSP,DTW,508.0,3
6866,2017-09-29,AA,AUS,LAX,1242.0,5
13244,2017-09-07,AA,SFO,PHX,651.0,3
18814,2017-09-27,OO,BNA,RDU,442.0,2
14726,2017-09-10,DL,ATL,LEX,304.0,2
8501,2017-09-26,OO,BUR,SLC,574.0,3
12347,2017-09-04,AA,CLT,MSY,651.0,3
6598,2017-09-05,UA,PBI,EWR,1023.0,5
2464,2017-09-06,AA,ORD,SAN,1723.0,7
8437,2017-09-28,DL,PHL,JFK,94.0,1
5808,2017-09-01,OO,SEA,SJC,696.0,3
5588,2017-09-25,WN,OAK,MSY,1903.0,8
14873,2017-09-19,AS,SFO,SEA,679.0,3
11143,2017-09-22,OO,SFO,RNO,192.0,1
13262,2017-09-11,NK,FLL,BWI,925.0,4
19805,2017-09-07,HA,HNL,LIH,102.0,1
15744,2017-09-22,DL,DCA,ATL,547.0,3
5955,2017-09-13,WN,BWI,ROC,277.0,2
10866,2017-09-22,DL,EWR,ATL,746.0,3
11623,2017-09-25,AA,MCI,CLT,808.0,4
2189,2017-09-16,OO,SFO,AUS,1504.0,7
11042,2017-09-14,DL,LAX,PDX,834.0,4
6057,2017-09-19,AA,SFO,PHL,2521.0,11
13241,2017-09-22,DL,ATL,IAD,534.0,3
2851,2017-09-11,B6,PDX,JFK,2454.0,10
7045,2017-09-08,VX,OGG,LAX,2486.0,10
18067,2017-09-22,WN,MDW,LAS,1521.0,7
17203,2017-09-07,UA,ORD,MCI,403.0,2
12332,2017-09-29,AS,LAS,SEA,867.0,4
11978,2017-09-28,OO,SEA,PDX,129.0,1
13854,2017-09-22,WN,LAS,SFO,414.0,2
3402,2017-09-17,WN,IND,BWI,516.0,3
4313,2017-09-15,EV,DAY,EWR,533.0,3
5446,2017-09-15,B6,CHS,BOS,818.0,4
15658,2017-09-20,AA,JFK,LAX,2475.0,10
19113,2017-09-03,VX,PDX,SFO,550.0,3
16144,2017-09-11,WN,ICT,STL,392.0,2
6454,2017-09-28,WN,AUS,STL,721.0,3
6830,2017-09-21,WN,MDW,CVG,249.0,1
6147,2017-09-26,WN,MSY,ATL,425.0,2
15526,2017-09-27,WN,SAN,SJC,417.0,2
3616,2017-09-01,AA,LAX,PHX,370.0,2
14035,2017-09-30,AA,CLT,GSO,83.0,1
3645,2017-09-20,AS,PDX,SNA,859.0,4
1154,2017-09-12,WN,DAL,LBB,293.0,2
16061,2017-09-08,UA,ORD,SMF,1781.0,8
15999,2017-09-01,OO,MGM,ATL,147.0,1
17439,2017-09-06,WN,TPA,IND,837.0,4
5872,2017-09-04,DL,MSP,ORD,334.0,2
19749,2017-09-18,DL,ATL,JAN,341.0,2
13844,2017-09-18,OO,ASE,DEN,125.0,1
3810,2017-09-02,OO,MSP,BJI,199.0,1
8707,2017-09-01,AS,OGG,SJC,2355.0,10
18777,2017-09-20,OO,BGM,DTW,378.0,2
3117,2017-09-13,DL,ATL,RSW,515.0,3
7452,2017-09-14,AA,MFE,DFW,469.0,2
619,2017-09-06,EV,RIC,MSP,970.0,4
12461,2017-09-13,AS,SEA,ANC,1448.0,6
11391,2017-09-23,UA,SFO,HNL,2398.0,10
7283,2017-09-28,AA,AUS,DFW,190.0,1
1551,2017-09-08,AA,ORD,MSP,334.0,2
13810,2017-09-27,WN,SJC,SEA,696.0,3
9933,2017-09-18,AA,DEN,PHX,602.0,3
17310,2017-09-26,OO,ONT,SFO,363.0,2
14475,2017-09-14,AA,DFW,IAH,224.0,1
1316,2017-09-01,EV,ORD,CLE,316.0,2
12287,2017-09-28,AA,DFW,ABQ,569.0,3
3526,2017-09-15,UA,RDU,IAD,224.0,1
7387,2017-09-12,OO,SLC,BOI,290.0,2
10213,2017-09-13,DL,MSP,IND,503.0,3
8225,2017-09-24,HA,HNL,LIH,102.0,1
4233,2017-09-14,DL,LGA,ATL,762.0,4
10776,2017-09-07,WN,MDW,MHT,838.0,4
15062,2017-09-17,NK,DTW,OAK,2068.0,9
4354,2017-09-21,DL,JFK,ATL,760.0,4
10416,2017-09-14,NK,LAX,ORD,1744.0,7
13205,2017-09-25,DL,ATL,DTW,594.0,3
3276,2017-09-22,WN,DAL,STL,546.0,3
19507,2017-09-25,DL,TUL,ATL,674.0,3
17358,2017-09-26,DL,DTW,DCA,405.0,2
4379,2017-09-19,WN,SNA,SMF,404.0,2
18649,2017-09-04,B6,RSW,EWR,1068.0,5
16355,2017-09-26,OO,ACV,SFO,250.0,2
16544,2017-09-07,WN,BNA,FLL,793.0,4
7572,2017-09-23,AA,ONT,DFW,1188.0,5
19075,2017-09-29,DL,ATL,LIT,453.0,2
12556,2017-09-26,AA,DFW,LGA,1389.0,6
19580,2017-09-27,DL,DTW,GRR,120.0,1
5624,2017-09-12,WN,SAN,SMF,480.0,2
8265,2017-09-01,AS,ANC,ADQ,253.0,2
19542,2017-09-22,WN,DAL,DEN,651.0,3
4275,2017-09-17,UA,PHL,ORD,678.0,3
8487,2017-09-12,WN,LAS,LAX,236.0,1
3273,2017-09-26,OO,SAN,SEA,1050.0,5
8862,2017-09-15,OO,MSP,DSM,232.0,1
9857,2017-09-14,DL,SLC,BIL,387.0,2
4085,2017-09-30,DL,ATL,PVD,903.0,4
10434,2017-09-07,OO,DCA,ORD,612.0,3
308,2017-09-11,AA,DFW,PHX,868.0,4
2037,2017-09-22,WN,OAK,LAS,407.0,2
4707,2017-09-08,WN,TPA,DEN,1506.0,7
1483,2017-09-26,UA,DEN,ATL,1199.0,5
19030,2017-09-30,HA,SFO,OGG,2338.0,10
12211,2017-09-22,HA,ITO,HNL,216.0,1
13625,2017-09-27,F9,PHX,COS,551.0,3
17927,2017-09-18,AA,MIA,TPA,204.0,1
11519,2017-09-06,DL,LAX,MSP,1535.0,7
9422,2017-09-16,WN,ATL,LAX,1947.0,8
5111,2017-09-19,UA,SAN,SFO,447.0,2
19908,2017-09-21,UA,SAN,ORD,1723.0,7
5526,2017-09-16,F9,TPA,PHL,920.0,4
7969,2017-09-20,VX,EWR,LAX,2454.0,10
18334,2017-09-04,AA,MIA,MCO,192.0,1
7988,2017-09-20,WN,MCI,BWI,967.0,4
17621,2017-09-02,F9,FSD,DEN,483.0,2
19558,2017-09-25,WN,BWI,CLT,361.0,2
10408,2017-09-14,EV,STL,ORD,258.0,2
6257,2017-09-07,DL,DTW,MCO,957.0,4
10465,2017-09-08,AA,CLT,DFW,936.0,4
12323,2017-09-22,DL,CMH,ATL,447.0,2
6765,2017-09-28,WN,MCO,MHT,1142.0,5
16826,2017-09-13,UA,SAT,EWR,1569.0,7
18625,2017-09-11,UA,LAS,DEN,628.0,3
10665,2017-09-01,EV,CSG,ATL,83.0,1
14851,2017-09-19,OO,BDL,MSP,1050.0,5
17526,2017-09-08,AA,FLL,DFW,1119.0,5
6231,2017-09-08,AA,PHL,RDU,337.0,2
19633,2017-09-06,DL,BNA,ATL,214.0,1
4300,2017-09-22,OO,DFW,SFO,1464.0,6
10711,2017-09-27,AA,PHL,ORD,678.0,3
18386,2017-09-16,B6,FLL,SFO,2584.0,11
805,2017-09-26,WN,RDU,MDW,632.0,3
2614,2017-09-19,UA,IAD,SFO,2419.0,10
17682,2017-09-28,DL,IND,ATL,432.0,2
8468,2017-09-07,DL,ALB,ATL,853.0,4
5142,2017-09-23,DL,SFO,SEA,679.0,3
17191,2017-09-28,OO,BRD,MSP,114.0,1
16608,2017-09-15,AA,DFW,CLT,936.0,4
14137,2017-09-15,AS,LAS,SEA,867.0,4
2311,2017-09-02,OO,SFO,RDD,199.0,1
9677,2017-09-18,UA,ORD,IAH,925.0,4
8853,2017-09-30,DL,SJC,SLC,584.0,3
14897,2017-09-15,B6,EWR,SJU,1608.0,7
5823,2017-09-27,AS,SEA,OAK,672.0,3
8301,2017-09-14,DL,EWR,ATL,746.0,3
12701,2017-09-25,AA,LAX,KOA,2504.0,11
16869,2017-09-05,WN,BWI,BNA,587.0,3
1353,2017-09-18,OO,CMX,ORD,360.0,2
2350,2017-09-18,AA,DCA,TPA,814.0,4
8280,2017-09-13,EV,ORD,CHA,501.0,3
10241,2017-09-24,WN,MCO,LAS,2039.0,9
11142,2017-09-15,B6,TPA,JFK,1005.0,5
15498,2017-09-19,WN,SJC,ONT,333.0,2
7966,2017-09-11,UA,DEN,MCI,533.0,3
477,2017-09-17,EV,GRR,IAH,1042.0,5
3147,2017-09-12,DL,PHL,MSP,980.0,4
19095,2017-09-19,DL,DAB,ATL,366.0,2
17355,2017-09-05,DL,MSP,BOS,1124.0,5
17536,2017-09-08,B6,SFO,JFK,2586.0,11
18108,2017-09-11,WN,SFO,SAN,447.0,2
4084,2017-09-02,DL,ATL,RSW,515.0,3
17637,2017-09-27,AA,BOS,PHL,280.0,2
626,2017-09-07,F9,PDX,DEN,991.0,4
10948,2017-09-10,DL,MSP,DTW,528.0,3
18897,2017-09-09,DL,MIA,JFK,1089.0,5
5093,2017-09-15,F9,MCO,TTN,896.0,4
3720,2017-09-12,OO,SAN,SLC,626.0,3
9035,2017-09-11,AA,MIA,LGA,1096.0,5
6894,2017-09-15,DL,JFK,DEN,1626.0,7
13879,2017-09-08,DL,FLL,ATL,581.0,3
6473,2017-09-08,AA,CLT,MCO,468.0,2
11805,2017-09-28,UA,DEN,LAX,862.0,4
14012,2017-09-22,UA,EUG,SFO,451.0,2
8105,2017-09-08,WN,HOU,OKC,419.0,2
13799,2017-09-01,OO,ATL,ORD,606.0,3
3670,2017-09-29,DL,LAX,MSP,1535.0,7
19602,2017-09-11,UA,DEN,SNA,846.0,4
17976,2017-09-14,AA,ORD,MIA,1197.0,5
16534,2017-09-05,UA,ALB,ORD,723.0,3
14630,2017-09-12,UA,LAX,IAD,2288.0,10
48,2017-09-20,F9,ORD,LAS,1514.0,7
704,2017-09-22,OO,GSP,ORD,577.0,3
2272,2017-09-20,WN,MDW,CVG,249.0,1
8845,2017-09-24,F9,CVG,LAS,1678.0,7
16281,2017-09-08,OO,SLC,TUL,926.0,4
1052,2017-09-08,OO,ASE,DEN,125.0,1
11551,2017-09-16,OO,ORD,PIT,413.0,2
16815,2017-09-06,WN,MCI,DEN,533.0,3
13738,2017-09-29,OO,MSP,RHI,190.0,1
7400,2017-09-28,WN,MCI,ATL,692.0,3
6954,2017-09-06,DL,MCO,DTW,957.0,4
12563,2017-09-05,EV,LGA,RDU,431.0,2
5221,2017-09-12,OO,SLC,GJT,216.0,1
13896,2017-09-27,WN,DTW,BNA,456.0,2
1560,2017-09-18,AA,DFW,BNA,631.0,3
4515,2017-09-29,DL,ATL,PBI,545.0,3
5971,2017-09-04,WN,DEN,HOU,883.0,4
3435,2017-09-28,OO,CID,DTW,430.0,2
4844,2017-09-12,AA,ATL,CLT,226.0,1
16804,2017-09-17,WN,BWI,BDL,283.0,2
3390,2017-09-20,UA,MCO,SFO,2446.0,10
4831,2017-09-11,WN,ATL,BWI,577.0,3
10899,2017-09-09,UA,SFO,OGG,2338.0,10
17250,2017-09-16,NK,DFW,OAK,1457.0,6
12553,2017-09-22,WN,LAX,ATL,1947.0,8
11572,2017-09-04,WN,SLC,PHX,507.0,3
15902,2017-09-05,OO,COS,LAX,833.0,4
14107,2017-09-17,WN,TPA,ALB,1130.0,5
8813,2017-09-29,WN,BWI,ISP,220.0,1
10539,2017-09-25,DL,ATL,SAN,1892.0,8
16385,2017-09-22,UA,DCA,ORD,612.0,3
10927,2017-09-02,F9,CLE,LAS,1824.0,8
18290,2017-09-23,AA,BOS,PHL,280.0,2
4287,2017-09-25,DL,MSP,GEG,1175.0,5
435,2017-09-28,DL,BNA,ATL,214.0,1
14758,2017-09-17,UA,BOS,LAX,2611.0,11
7017,2017-09-12,DL,MSP,MKE,297.0,2
3470,2017-09-30,DL,ATL,RDU,356.0,2
16630,2017-09-28,OO,DTW,SBN,157.0,1
13338,2017-09-20,OO,PDX,GEG,279.0,2
12743,2017-09-11,AS,PDX,LAX,834.0,4
2324,2017-09-25,UA,BOS,LAX,2611.0,11
6488,2017-09-07,AA,MIA,SFO,2585.0,11
4739,2017-09-01,AA,DFW,RIC,1158.0,5
9657,2017-09-04,EV,SAV,LGA,722.0,3
3026,2017-09-11,OO,EUG,SEA,234.0,1
741,2017-09-01,DL,HNL,ATL,4502.0,11
609,2017-09-10,UA,SFO,EWR,2565.0,11
19069,2017-09-09,DL,JFK,SAN,2446.0,10
12529,2017-09-02,EV,MAF,IAH,429.0,2
14058,2017-09-17,UA,SFO,EWR,2565.0,11
8604,2017-09-12,WN,LAS,SLC,368.0,2
11202,2017-09-17,DL,ATL,PHL,666.0,3
13827,2017-09-27,WN,BOS,BWI,369.0,2
10958,2017-09-07,DL,SEA,MSP,1399.0,6
15626,2017-09-22,B6,RSW,BOS,1249.0,5
18439,2017-09-24,NK,BDL,MYR,664.0,3
10733,2017-09-03,OO,STL,PDX,1708.0,7
5310,2017-09-03,DL,DTW,DCA,405.0,2
17736,2017-09-06,AS,SLC,SFO,599.0,3
12075,2017-09-08,VX,SFO,LAS,414.0,2
15997,2017-09-29,OO,RSW,CVG,879.0,4
4559,2017-09-17,DL,LAS,SLC,368.0,2
19358,2017-09-01,WN,ATL,STL,484.0,2
17958,2017-09-05,DL,ATL,BHM,134.0,1
11494,2017-09-01,UA,LAX,EWR,2454.0,10
6915,2017-09-22,OO,PDX,SEA,129.0,1
13242,2017-09-09,NK,LGA,MYR,563.0,3
10695,2017-09-11,OO,TYS,ORD,475.0,2
6368,2017-09-30,OO,DLH,MSP,144.0,1
11666,2017-09-05,EV,DTW,LIT,705.0,3
452,2017-09-05,WN,SLC,SMF,532.0,3
874,2017-09-16,NK,ORD,LAS,1514.0,7
10249,2017-09-05,UA,IAH,DEN,862.0,4
5709,2017-09-13,DL,DTW,MSN,311.0,2
11857,2017-09-13,AA,DFW,TUL,237.0,1
11191,2017-09-30,AA,EWR,ORD,719.0,3
8017,2017-09-22,UA,MSP,DEN,680.0,3
4180,2017-09-11,WN,RDU,ATL,356.0,2
15704,2017-09-07,AA,RNO,DFW,1345.0,6
14159,2017-09-01,AA,SAV,DFW,925.0,4
18983,2017-09-30,WN,CMH,BNA,337.0,2
10632,2017-09-26,AA,DFW,GSP,862.0,4
17546,2017-09-30,AA,AUS,PHL,1430.0,6
5753,2017-09-02,UA,SFO,ORD,1846.0,8
7976,2017-09-17,AA,CLT,MCO,468.0,2
4143,2017-09-20,DL,ATL,IND,432.0,2
16996,2017-09-27,AA,MCO,DCA,759.0,4
8504,2017-09-28,WN,PIT,MDW,402.0,2
6492,2017-09-24,B6,JFK,SJU,1598.0,7
4334,2017-09-11,DL,JFK,AUS,1521.0,7
4044,2017-09-09,EV,ATL,SGF,563.0,3
5497,2017-09-11,WN,PDX,SMF,479.0,2
4366,2017-09-01,UA,ORD,LGA,733.0,3
18180,2017-09-14,WN,SMF,PHX,647.0,3
18370,2017-09-10,AA,AUS,CLT,1032.0,5
2316,2017-09-09,AA,LGA,ORD,733.0,3
11332,2017-09-10,DL,ATL,SLC,1590.0,7
15906,2017-09-17,UA,TPA,ORD,1012.0,5
11983,2017-09-30,UA,ORD,EWR,719.0,3
11759,2017-09-28,UA,EWR,IAH,1400.0,6
16467,2017-09-10,OO,GEG,SEA,224.0,1
3894,2017-09-29,AA,DFW,LGA,1389.0,6
19610,2017-09-12,UA,LAX,IAH,1379.0,6
18514,2017-09-19,WN,AUS,DAL,189.0,1
8286,2017-09-10,DL,GSO,ATL,306.0,2
16945,2017-09-24,NK,CLE,MCO,895.0,4
15891,2017-09-21,AA,DFW,LAX,1235.0,5
844,2017-09-21,DL,SLC,SAN,626.0,3
11877,2017-09-22,UA,PSP,SFO,421.0,2
8900,2017-09-10,OO,BNA,ORD,409.0,2
15337,2017-09-17,DL,SJC,SLC,584.0,3
835,2017-09-11,AA,DFW,CLT,936.0,4
15418,2017-09-11,AA,DCA,BOS,399.0,2
4466,2017-09-08,OO,GTF,SLC,463.0,2
6139,2017-09-07,UA,ORD,DEN,888.0,4
8794,2017-09-14,EV,PWM,ORD,900.0,4
16023,2017-09-04,OO,MSP,DLH,144.0,1
