Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Marketing Airline,Operating Airline,Marketing Airline Name,Operating Airline Name,Code Share,Fleet,Manufacturer,Flight No,Effective Date,Discontinued Date,Departure Time,Arrival Time,Duration,Departure Terminal,Arrival Terminal,Restricted Code,Frequency,Schedule Type,DepCount,Operating Airline   Capacity,Operating Airline   ASM(Nautical)(Millions),Distance
BAU,CENTRAL RAILWAY STATION,BAURU,BRAZIL,SOUTH AMERICA,SJP,ERIBELTO MANOEL REINO AIRPORT,SAO JOSE DO RIO PRETO,BRAZIL,SOUTH AMERICA,TR,Q9,Scoot Tigerair Pte. Ltd,SKY JET M.G. INC.,YES,EM2,EMBRAER,1582,20001101,20001130,23:15,23:45,30,,, ,1234567,AIR,7,,,5259.0
BAU,CENTRAL RAILWAY STATION,BAURU,BRAZIL,SOUTH AMERICA,SJP,ERIBELTO MANOEL REINO AIRPORT,SAO JOSE DO RIO PRETO,BRAZIL,SOUTH AMERICA,TR,Q9,Scoot Tigerair Pte. Ltd,SKY JET M.G. INC.,YES,EM2,EMBRAER,1524,20001101,20001130,12:00,12:31,31,,, ,1234567,AIR,7,,,5259.0
CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,PVG,PUDONG INTERNATIONAL AIRPORT,SHANGHAI,CHINA,FAR EAST ASIA,AF,MU,Air France,China Eastern Airlines,YES,340,AIRBUS,114,20001101,20001130,12:25,7:00,695,2A,, , -2----- ,AIR,1,,,5012.0
CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,JJ,AF,TAM Linhas Aereas S.A dba LATAM Airlines Brasil,Air France,YES,777,BOEING,8301,20001101,20001130,10:30,19:10,700,2F,2, ,1234567,AIR,7,,,5115.0
CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,KIX,KANSAI INTERNATIONAL AIRPORT,OSAKA,JAPAN,FAR EAST ASIA,AF,JL,Air France,"Japan Airlines Co., Ltd.",YES,744,BOEING,294,20001101,20001130,19:10,15:20,730,2F,, , -23-56- ,AIR,4,,,5207.0
CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,MRU,SIR S. RAMGOOLAM INTL AIRPORT,MAURITIUS,MAURITIUS,EAST AFRICA,AF,MK,Air France,Air Mauritius Ltd,YES,343,AIRBUS,3880,20001101,20001130,19:40,10:20,700,2A,, , 123--67 ,AIR,5,,,5134.0
CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,MRU,SIR S. RAMGOOLAM INTL AIRPORT,MAURITIUS,MAURITIUS,EAST AFRICA,MK,AF,Air Mauritius Ltd,Air France,YES,747,BOEING,51,20001101,20001130,23:15,13:35,680,2A,, , 123-56- ,AIR,5,,,5134.0
CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,AF,JJ,Air France,TAM Linhas Aereas S.A dba LATAM Airlines Brasil,YES,330,AIRBUS,458,20001101,20001130,21:00,5:35,695,2F,2, ,1234567,AIR,7,,,5115.0
HKG,HONG KONG INTERNATIONAL AIRPORT,HONG KONG,HONG KONG - CHINA,FAR EAST ASIA,ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,CX,SR,"Cathay Pacific Airways, Ltd.",SundAir Gmbh,YES,M11,MCDONNELL-DOUGLAS,1291,20001101,20001130,23:35,5:35,780,,B, , 1-34567 ,AIR,6,,,5019.0
PEK,CAPITAL INTERNATIONAL AIRPORT,BEIJING,CHINA,FAR EAST ASIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,NW,CA,NORTHWEST AIRLINES INC.,Air China Limited,YES,74E,BOEING,5983,20001101,20001130,15:50,11:50,720,,2, , --3-5-7 ,AIR,3,,,5423.0
