Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Marketing Airline,Operating Airline,Marketing Airline Name,Operating Airline Name,Code Share,Fleet,Manufacturer,Flight No,Effective Date,Discontinued Date,Departure Time,Arrival Time,Duration,Departure Terminal,Arrival Terminal,Restricted Code,Frequency,Schedule Type,DepCount,Operating Airline   Capacity,Operating Airline   ASM(Nautical)(Millions),Distance
ORY,ORLY FIELD,PARIS,FRANCE,WESTERN EUROPE,RUN,ROLAND GARROS AIRPORT,ST DENIS DE LA REUNION,REUNION ISLAND,EAST AFRICA,IJ,IW,Spring Airlines Japan Co. Ltd.,PT. Wings Abadi Airlines,YES,D10,MCDONNELL-DOUGLAS,1851,20001101,20001130,21:45,11:50,665,S,, , 12345-7 ,AIR,6,,,5090.0
SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,AA,OZ,American Airlines,"Asiana Airlines, Inc.",YES,744,BOEING,6138,20001101,20001130,17:00,10:20,620,1,B, ,1234567,AIR,7,,,5186.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,NORTH AMERICA,AC,CP,Air Canada,Compass Airlines LLC,YES,744,BOEING,3018,20001101,20001130,18:30,12:35,605,2,M, ,1234567,AIR,7,,,5186.0
MXP,MALPENSA AIRPORT,MILAN,ITALY,WESTERN EUROPE,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,NW,RD,NORTHWEST AIRLINES INC.,RYAN INTERNATIONAL AIRLINES,YES,M1M,MCDONNELL-DOUGLAS,8920,20001102,20001130,10:30,14:15,765,1,B, , ---4--- ,AIR,1,,,5246.0
SJP,ERIBELTO MANOEL REINO AIRPORT,SAO JOSE DO RIO PRETO,BRAZIL,SOUTH AMERICA,BAU,CENTRAL RAILWAY STATION,BAURU,BRAZIL,SOUTH AMERICA,TR,Q9,Scoot Tigerair Pte. Ltd,SKY JET M.G. INC.,YES,EM2,EMBRAER,1583,20001101,20001130,6:45,7:13,28,,, ,1234567,AIR,7,,,5259.0
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,PEK,CAPITAL INTERNATIONAL AIRPORT,BEIJING,CHINA,FAR EAST ASIA,NW,CA,NORTHWEST AIRLINES INC.,Air China Limited,YES,744,BOEING,5984,20001104,20001130,14:30,19:10,760,2,, , -----6- ,AIR,1,,,5423.0
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,NH,RG,All Nippon Airways Co. Ltd.,Rotana Jet Aviation dba Rotana Jet,YES,M11,MCDONNELL-DOUGLAS,5837,20001101,20001130,13:00,6:40,700,B,2,A, 1-3-56- ,AIR,4,,,5382.0
EZE,MINISTRO PISTARINI AIRPORT,BUENOS AIRES,ARGENTINA,SOUTH AMERICA,MAD,ADOLFO SUAREZ-BARAJAS AIRPORT,MADRID,SPAIN,WESTERN EUROPE,AR,AR,Aerolineas Argentinas S.A.,Aerolineas Argentinas S.A.,YES,747,BOEING,1132,20001101,20001130,22:00,13:40,700,,1, , 1------ ,AIR,1,,,5480.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,SQ,LH,Singapore Airlines Limited,Deutsche Lufthansa AG,YES,744,BOEING,2007,20001101,20001130,22:15,16:55,700,1,2, ,1234567,AIR,7,,,5566.0
SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,AA,BR,American Airlines,EVA Airways Corporation,YES,744,BOEING,7407,20001101,20001130,16:05,22:00,835,I,2, , -2-4-6- ,AIR,3,,,5617.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,AA,BR,American Airlines,EVA Airways Corporation,YES,744,BOEING,7408,20001101,20001130,23:30,18:20,650,2,I, , -2-4-6- ,AIR,3,,,5617.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,NORTH AMERICA,BR,AC,EVA Airways Corporation,Air Canada,YES,744,BOEING,2010,20001101,20001130,18:30,12:35,605,2,M, , -2-4-67 ,AIR,4,,,5186.0
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,AMS,SCHIPHOL AIRPORT,AMSTERDAM,NETHERLANDS,WESTERN EUROPE,MH,KL,Malaysia Airlines Berhad,KLM Royal Dutch Airlines,YES,74M,BOEING,9022,20001101,20001117,10:30,16:35,785,,, , --3-5-- ,AIR,2,,,5540.0
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,VIE,VIENNA INTERNATIONAL AIRPORT,VIENNA,AUSTRIA,WESTERN EUROPE,MH,NG,Malaysia Airlines Berhad,LAUDA AIR LUFTFAHRT AG,YES,772,BOEING,9008,20001101,20001130,5:20,11:10,770,,, , ---4--7 ,AIR,2,,,5103.0
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,VIE,VIENNA INTERNATIONAL AIRPORT,VIENNA,AUSTRIA,WESTERN EUROPE,MH,NG,Malaysia Airlines Berhad,LAUDA AIR LUFTFAHRT AG,YES,772,BOEING,9008,20001101,20001130,5:35,11:25,770,,, , -2----- ,AIR,1,,,5103.0
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,VIE,VIENNA INTERNATIONAL AIRPORT,VIENNA,AUSTRIA,WESTERN EUROPE,NG,MH,LAUDA AIR LUFTFAHRT AG,Malaysia Airlines Berhad,YES,772,BOEING,8002,20001101,20001130,0:05,5:55,770,,, , 1-3-5-- ,AIR,3,,,5103.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,NORTH AMERICA,CP,BR,Compass Airlines LLC,EVA Airways Corporation,YES,747,BOEING,6098,20001101,20001130,23:55,18:10,615,2,M, , 1-3-5-- ,AIR,3,,,5186.0
ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,NH,UA,All Nippon Airways Co. Ltd.,"United Airlines, Inc.",YES,744,BOEING,7007,20001101,20001130,12:25,16:45,800,1,1, ,1234567,AIR,7,,,5441.0
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,VIE,VIENNA INTERNATIONAL AIRPORT,VIENNA,AUSTRIA,WESTERN EUROPE,OS,NG,Austrian Airlines AG dba Austrian,LAUDA AIR LUFTFAHRT AG,YES,777,BOEING,562,20001102,20001116,5:25,10:50,745,,,Y, ---4--7 ,AIR,2,,,5103.0
ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,AA,JL,American Airlines,"Japan Airlines Co., Ltd.",YES,744,BOEING,7207,20001101,20001130,12:00,16:05,785,5,2, ,1234567,AIR,7,,,5441.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,AA,BR,American Airlines,EVA Airways Corporation,YES,744,BOEING,7406,20001101,20001130,19:10,14:00,650,2,I, ,1234567,AIR,7,,,5617.0
ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,JL,AA,"Japan Airlines Co., Ltd.",American Airlines,YES,777,BOEING,5003,20001101,20001130,11:45,16:10,805,3,1, ,1234567,AIR,7,,,5441.0
ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,UA,NH,"United Airlines, Inc.",All Nippon Airways Co. Ltd.,YES,777,BOEING,8233,20001101,20001130,11:00,15:15,795,5,2, ,1234567,AIR,7,,,5441.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,CO,BR,Cobaltair Ltd,EVA Airways Corporation,YES,74E,BOEING,9022,20001101,20001130,23:30,18:20,650,1,I, , -2-4-6- ,AIR,3,,,5617.0
NGO,CHUBU CENTRAIR INTERNATIONAL AIRPORT,NAGOYA,JAPAN,FAR EAST ASIA,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,NORTH AMERICA,KL,NW,KLM Royal Dutch Airlines,NORTHWEST AIRLINES INC.,YES,747,BOEING,6072,20001101,20001130,12:25,9:55,690,,I,A, --3---- ,AIR,1,,,5688.0
YYZ,LESTER B. PEARSON INTL AIRPORT,TORONTO,CANADA,NORTH AMERICA,NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,NH,AC,All Nippon Airways Co. Ltd.,Air Canada,YES,340,AIRBUS,1893,20001101,20001130,13:00,17:20,860,1,2, , --34567 ,AIR,5,,,5570.0
GIG,GALEAO- A.C. JOBIM INTL AIRPORT,RIO DE JANEIRO,BRAZIL,SOUTH AMERICA,ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,SN,SR,Brussels Airlines,SundAir Gmbh,YES,M11,MCDONNELL-DOUGLAS,9398,20001104,20001130,16:20,6:20,660,1,A,O, -----6- ,AIR,1,,,5105.0
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,AKL,AUCKLAND INTERNATIONAL AIRPORT,AUCKLAND,NEW ZEALAND,PACIFIC,UA,NZ,"United Airlines, Inc.",Air New Zealand Limited,YES,744,BOEING,4345,20001101,20001130,11:00,20:45,765,2,I, , --3---- ,AIR,1,,,5690.0
BKK,SUVARNABHUMI INTERNATIONAL,BANGKOK,THAILAND,SOUTHEAST ASIA,LHR,HEATHROW AIRPORT,LONDON,UNITED KINGDOM,WESTERN EUROPE,BA,QF,British Airways p.l.c.,Qantas Airways Ltd.,YES,744,BOEING,7311,20001101,20001130,0:35,6:25,770,2,4, ,1234567,AIR,7,,,5188.0
AMS,SCHIPHOL AIRPORT,AMSTERDAM,NETHERLANDS,WESTERN EUROPE,KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,MH,KL,Malaysia Airlines Berhad,KLM Royal Dutch Airlines,YES,74M,BOEING,9017,20001101,20001130,19:20,14:10,710,,, , --3-567 ,AIR,4,,,5540.0
AKL,AUCKLAND INTERNATIONAL AIRPORT,AUCKLAND,NEW ZEALAND,PACIFIC,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,AN,NZ,"Advanced Air, LLC",Air New Zealand Limited,YES,744,BOEING,8002,20001101,20001130,22:00,13:00,720,I,2, , --34567 ,AIR,5,,,5690.0
AKL,AUCKLAND INTERNATIONAL AIRPORT,AUCKLAND,NEW ZEALAND,PACIFIC,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,AC,NZ,Air Canada,Air New Zealand Limited,YES,744,BOEING,9501,20001101,20001130,19:25,10:25,720,I,2,Y, -2----- ,AIR,1,,,5690.0
AKL,AUCKLAND INTERNATIONAL AIRPORT,AUCKLAND,NEW ZEALAND,PACIFIC,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,BA,QF,British Airways p.l.c.,Qantas Airways Ltd.,YES,744,BOEING,7303,20001101,20001130,23:45,14:35,710,I,B,X, --3-5-7 ,AIR,3,,,5690.0
EZE,MINISTRO PISTARINI AIRPORT,BUENOS AIRES,ARGENTINA,SOUTH AMERICA,MAD,ADOLFO SUAREZ-BARAJAS AIRPORT,MADRID,SPAIN,WESTERN EUROPE,AR,AR,Aerolineas Argentinas S.A.,Aerolineas Argentinas S.A.,YES,747,BOEING,1152,20001101,20001130,22:00,13:40,700,,1, , -2--5-7 ,AIR,3,,,5480.0
NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,NH,Deutsche Lufthansa AG,All Nippon Airways Co. Ltd.,YES,747,BOEING,9361,20001101,20001130,12:55,17:00,725,2,1, ,-234567,AIR,6,,,5066.0
NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,YYZ,LESTER B. PEARSON INTL AIRPORT,TORONTO,CANADA,NORTH AMERICA,NH,AC,All Nippon Airways Co. Ltd.,Air Canada,YES,340,AIRBUS,1892,20001101,20001130,19:00,17:15,735,2,1, , 1-34567 ,AIR,6,,,5570.0
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,LHR,HEATHROW AIRPORT,LONDON,UNITED KINGDOM,WESTERN EUROPE,VS,MH,Virgin Atlantic Airways Limited,Malaysia Airlines Berhad,YES,744,BOEING,504,20001101,20001130,10:30,16:30,840,,3, ,1234567,AIR,7,,,5744.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,NORTH AMERICA,AA,BR,American Airlines,EVA Airways Corporation,YES,744,BOEING,7410,20001101,20001130,18:20,12:40,620,2,, ,1234567,AIR,7,,,5275.0
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,AMS,SCHIPHOL AIRPORT,AMSTERDAM,NETHERLANDS,WESTERN EUROPE,MH,KL,Malaysia Airlines Berhad,KLM Royal Dutch Airlines,YES,74M,BOEING,9016,20001101,20001130,0:55,7:00,785,,, , 12--5-7 ,AIR,4,,,5540.0
ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,TG,UA,Thai Airways International Public Company Ltd,"United Airlines, Inc.",YES,744,BOEING,5603,20001101,20001130,12:00,16:20,800,1,1,Y, 1--4-6- ,AIR,3,,,5441.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,TG,UA,Thai Airways International Public Company Ltd,"United Airlines, Inc.",YES,744,BOEING,5634,20001101,20001130,14:00,8:50,650,1,I,Y,1234567,AIR,7,,,5617.0
ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,KIX,KANSAI INTERNATIONAL AIRPORT,OSAKA,JAPAN,FAR EAST ASIA,AA,JL,American Airlines,"Japan Airlines Co., Ltd.",YES,744,BOEING,7241,20001104,20001130,16:00,20:55,835,5,, , -----67 ,AIR,2,,,5646.0
ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,NH,UA,All Nippon Airways Co. Ltd.,"United Airlines, Inc.",YES,744,BOEING,7009,20001101,20001130,12:00,16:20,800,1,1, ,1234567,AIR,7,,,5441.0
JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,NH,UA,All Nippon Airways Co. Ltd.,"United Airlines, Inc.",YES,744,BOEING,7001,20001101,20001130,10:55,14:55,840,7,1, ,1234567,AIR,7,,,5852.0
JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,UA,NH,"United Airlines, Inc.",All Nippon Airways Co. Ltd.,YES,744,BOEING,8229,20001101,20001130,11:00,14:55,835,3,2, ,1234567,AIR,7,,,5852.0
SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,NORTH AMERICA,TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,AA,BR,American Airlines,EVA Airways Corporation,YES,744,BOEING,7409,20001101,20001130,3:00,8:15,795,,2, ,1234567,AIR,7,,,5275.0
NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,IAD,DULLES INTERNATIONAL AIRPORT,WASHINGTON,UNITED STATES,NORTH AMERICA,UA,NH,"United Airlines, Inc.",All Nippon Airways Co. Ltd.,YES,744,BOEING,8228,20001101,20001130,11:10,9:15,725,2,, ,1234567,AIR,7,,,5864.0
AKL,AUCKLAND INTERNATIONAL AIRPORT,AUCKLAND,NEW ZEALAND,PACIFIC,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,UA,NZ,"United Airlines, Inc.",Air New Zealand Limited,YES,744,BOEING,4352,20001101,20001130,22:00,13:00,720,I,2, , --34567 ,AIR,5,,,5690.0
NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,JL,SR,"Japan Airlines Co., Ltd.",SundAir Gmbh,YES,M11,MCDONNELL-DOUGLAS,453,20001103,20001130,12:40,17:25,765,2,B, , 12--5-7 ,AIR,4,,,5183.0
ORY,ORLY FIELD,PARIS,FRANCE,WESTERN EUROPE,RUN,ROLAND GARROS AIRPORT,ST DENIS DE LA REUNION,REUNION ISLAND,EAST AFRICA,IJ,IW,Spring Airlines Japan Co. Ltd.,PT. Wings Abadi Airlines,YES,D10,MCDONNELL-DOUGLAS,851,20001101,20001130,21:45,11:50,665,S,, , 12345-7 ,AIR,6,,,5090.0
NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,CHC,CHRISTCHURCH INTERNATIONAL AIRPORT,CHRISTCHURCH,NEW ZEALAND,PACIFIC,JL,NZ,"Japan Airlines Co., Ltd.",Air New Zealand Limited,YES,744,BOEING,90,20001106,20001128,20:55,11:55,660,2,M, , 12----- ,AIR,2,,,5113.0
LHR,HEATHROW AIRPORT,LONDON,UNITED KINGDOM,WESTERN EUROPE,SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,QF,BA,Qantas Airways Ltd.,British Airways p.l.c.,YES,744,BOEING,320,20001101,20001130,21:45,18:35,770,4,1, ,1234567,AIR,7,,,5894.0
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,AA,BR,American Airlines,EVA Airways Corporation,YES,744,BOEING,7401,20001101,20001130,15:20,21:50,870,B,2, ,1234567,AIR,7,,,5901.0
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,UA,RG,"United Airlines, Inc.",Rotana Jet Aviation dba Rotana Jet,YES,M11,MCDONNELL-DOUGLAS,4155,20001101,20001130,13:00,6:40,700,B,2, , 1-3-56- ,AIR,4,,,5382.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,CO,BR,Cobaltair Ltd,EVA Airways Corporation,YES,747,BOEING,9008,20001101,20001130,18:30,13:50,680,1,B, ,1234567,AIR,7,,,5901.0
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,AMS,SCHIPHOL AIRPORT,AMSTERDAM,NETHERLANDS,WESTERN EUROPE,KL,MH,KLM Royal Dutch Airlines,Malaysia Airlines Berhad,YES,777,BOEING,4102,20001101,20001130,23:30,6:30,840,,, ,1234567,AIR,7,,,5540.0
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,VIE,VIENNA INTERNATIONAL AIRPORT,VIENNA,AUSTRIA,WESTERN EUROPE,OS,NG,Austrian Airlines AG dba Austrian,LAUDA AIR LUFTFAHRT AG,YES,777,BOEING,562,20001101,20001130,5:35,10:55,740,,,Y, -2----- ,AIR,1,,,5103.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,AA,BR,American Airlines,EVA Airways Corporation,YES,744,BOEING,7400,20001101,20001130,18:30,13:50,680,2,B, ,1234567,AIR,7,,,5901.0
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,SR,MH,SundAir Gmbh,Malaysia Airlines Berhad,YES,772,BOEING,9651,20001101,20001130,23:20,6:15,835,,A, , -2----- ,AIR,1,,,5421.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,NORTH AMERICA,CO,BR,Cobaltair Ltd,EVA Airways Corporation,YES,74E,BOEING,9024,20001101,20001130,18:20,12:35,615,1,, ,1234567,AIR,7,,,5275.0
ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,KIX,KANSAI INTERNATIONAL AIRPORT,OSAKA,JAPAN,FAR EAST ASIA,AA,JL,American Airlines,"Japan Airlines Co., Ltd.",YES,744,BOEING,7241,20001102,20001130,11:00,15:40,820,5,, , 1--4--- ,AIR,2,,,5646.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,AA,BR,American Airlines,EVA Airways Corporation,YES,744,BOEING,7413,20001101,20001130,23:55,19:15,680,2,B, ,1234567,AIR,7,,,5901.0
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,SR,MH,SundAir Gmbh,Malaysia Airlines Berhad,YES,772,BOEING,9651,20001101,20001130,23:25,6:20,835,,A, , --34-6- ,AIR,3,,,5421.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,AI,SQ,Air India Limited,Singapore Airlines Limited,YES,744,BOEING,8006,20001101,20001130,22:55,18:15,680,1,B,A,1234567,AIR,7,,,5901.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,CO,BR,Cobaltair Ltd,EVA Airways Corporation,YES,74E,BOEING,9014,20001101,20001130,19:10,14:00,650,1,I, ,1234567,AIR,7,,,5617.0
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,LHR,HEATHROW AIRPORT,LONDON,UNITED KINGDOM,WESTERN EUROPE,VS,MH,Virgin Atlantic Airways Limited,Malaysia Airlines Berhad,YES,744,BOEING,502,20001101,20001130,23:55,5:55,840,,3, ,1234567,AIR,7,,,5744.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,CO,BR,Cobaltair Ltd,EVA Airways Corporation,YES,747,BOEING,9012,20001101,20001130,23:55,19:15,680,1,B, , 12-456- ,AIR,5,,,5901.0
SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,SYD,KINGSFORD SMITH AIRPORT,SYDNEY,AUSTRALIA,AUSTRALIA,NZ,UA,Air New Zealand Limited,"United Airlines, Inc.",YES,744,BOEING,9003,20001101,20001130,23:30,8:55,865,I,I, ,1234567,AIR,7,,,6477.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,UA,LH,"United Airlines, Inc.",Deutsche Lufthansa AG,YES,343,AIRBUS,3537,20001104,20001130,17:10,20:25,735,1,6, , -----6- ,AIR,1,,,5046.0
SYD,KINGSFORD SMITH AIRPORT,SYDNEY,AUSTRALIA,AUSTRALIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,AA,QF,American Airlines,Qantas Airways Ltd.,YES,744,BOEING,7363,20001101,20001130,15:45,10:15,810,I,B, ,1234567,AIR,7,,,6536.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,LH,NH,Deutsche Lufthansa AG,All Nippon Airways Co. Ltd.,YES,747,BOEING,9360,20001101,20001130,20:30,15:40,670,1,2, ,-234567,AIR,6,,,5066.0
